Name	WAR
Mike Trout	11
Nelson Cruz	6.2
Juan Soto	7.3
Christian Yelich	8.6
Anthony Rendon	9.6
Freddie Freeman	7.3
Alex Bregman	9.5
George Springer	8.4
Cody Bellinger	9
DJ LeMahieu	7.8
Xander Bogaerts	8.7
Ketel Marte	7.4
Mookie Betts	9.6
Ronald Acuna Jr.	8
Jeff McNeil	5.7
Trevor Story	8.3
Josh Donaldson	5.8
Mark Canha	5.8
Bryce Harper	6.2
Charlie Blackmon	2.8
Trea Turner	6.3
Pete Alonso	5.1
Trey Mancini	3.7
Nolan Arenado	6.9
Anthony Rizzo	5.1
Justin Turner	4.7
Marcell Ozuna	5
Luke Voit	3.4
Michael Conforto	5.7
Jorge Soler	4.2
Eugenio Suarez	5.6
Tim Anderson	5.6
Rafael Devers	6.5
Michael Brantley	5.5
Jose Abreu	4.4
Carlos Santana	4.9
Kris Bryant	5.3
Austin Meadows	3.9
J.D. Martinez	2.2
Jose Ramirez	6.8
Yoan Moncada	7.2
Corey Seager	5.2
Paul Goldschmidt	5.1
Max Muncy	5.2
Jake Cronenworth	1.4
Yasmani Grandal	6.9
Marcus Semien	8.8
Rhys Hoskins	3.1
Josh Bell	2
Eloy Jimenez	3.5
Hunter Dozier	3.8
Matt Olson	4.7
Gleyber Torres	3.8
Matt Chapman	7.4
Manny Machado	5.6
Ozzie Albies	5.2
Nicholas Castellanos	3.2
Max Kepler	5.4
Cavan Biggio	3.8
Jose Altuve	3.7
Starling Marte	4.3
Shin-Soo Choo	1.8
Mike Moustakas	3.5
Bryan Reynolds	3.2
J.T. Realmuto	7.5
Brian Anderson	4.3
Christian Walker	2.9
Kyle Schwarber	3
Brandon Belt	2.2
Ramon Laureano	5.2
Francisco Lindor	6.2
Wil Myers	2.4
Brett Gardner	4.2
Yuli Gurriel	3.2
Kole Calhoun	4.2
Tommy Pham	3.3
Whit Merrifield	4.2
Jason Heyward	3.8
Jorge Polanco	4.8
Joey Votto	1.2
Christian Vazquez	4.9
Kyle Seager	4.4
Vladimir Guerrero	0.6
Yasiel Puig	1.3
Adam Eaton	1.9
Eddie Rosario	2.1
Daniel Vogelbach	1.5
Renato Nunez	1.1
Dansby Swanson	3.3
David Fletcher	4.8
Kolten Wong	5
Brian Goodwin	1.8
Jackie Bradley	2.9
Ryan McMahon	0.8
Avisail Garcia	2.5
Colin Moran	0.5
Willy Adames	4.3
Eduardo Escobar	3.1
Cesar Hernandez	3.7
Todd Frazier	1.8
Javier Baez	4.4
Jonathan Villar	3.8
Jean Segura	3.3
Miguel Cabrera	-0.1
Eric Hosmer	0.5
Evan Longoria	2.7
Kevin Newman	1.9
Paul DeJong	4.7
Luis Robert	1.5
Nick Ahmed	3.4
Randal Grichuk	1.1
Hanser Alberto	2.6
Adam Frazier	2.8
Justin Smoak	-0.5
Jurickson Profar	2.7
Amed Rosario	2.8
Kevin Pillar	2.5
Alex Gordon	1.6
Adam Jones	-0.2
Starlin Castro	1.4
Josh Reddick	0.4
Victor Robles	2
Albert Pujols	-0.7
Brandon Crawford	1.2
Elvis Andrus	1.1
Rougned Odor	0.1
Orlando Arcia	0.3
Evan White	-0.2
Jacob deGrom	9.6
Gerrit Cole	8.8
Shane Bieber	8.8
Max Scherzer	8.3
Lance Lynn	8.1
Zack Greinke	7.5
Lucas Giolito	7
Charlie Morton	7
Zack Wheeler	6.7
Hyun-Jin Ryu	6.6
Luis Castillo	6.5
Justin Verlander	6.3
Sonny Gray	6.1
Patrick Corbin	5.9
Kyle Hendricks	5.9
Trevor Bauer	5.8
Marco Gonzales	5.7
German Marquez	5.7
Aaron Nola	5.5
Jose Berrios	5.4
Yu Darvish	5.4
Jack Flaherty	5.4
Mike Minor	4.9
Dylan Bundy	4.5
Noah Syndergaard	4.4
Marcus Stroman	3.9
Eduardo Rodriguez	3.7
Rick Porcello	3.5
Matthew Boyd	3.4
Adam Wainwright	3.2
Sandy Alcantara	3.1
Zach Eflin	3.1
Jon Lester	2.9
Zach Davies	2.9
Madison Bumgarner	2.8
Miles Mikolas	2.5
Brett Anderson	2.5
Anthony DeSclafani	2.4
Mike Fiers	2.3
Robbie Ray	2
Jakob Junis	1.4
Brady Singer	1
Mike Leake	1
Julio Teheran	0.8
